iter	Passed	Remaining
0	64	38722
1	100	30090
2	134	26828
3	167	25011
4	199	23736
5	232	23034
6	265	22464
7	299	22172
8	335	22046
9	372	21974
10	412	22079
11	444	21763
12	474	21406
13	506	21190
14	539	21033
15	571	20845
16	606	20786
17	638	20638
18	669	20483
19	701	20357
20	734	20241
21	766	20126
22	796	19988
23	826	19847
24	860	19786
25	892	19698
26	925	19633
27	957	19556
28	991	19514
29	1023	19444
30	1061	19485
31	1094	19424
32	1127	19371
33	1161	19334
34	1193	19265
35	1226	19213
36	1259	19171
37	1293	19124
38	1325	19069
39	1357	18999
40	1394	19009
41	1431	19018
42	1469	19036
43	1505	19024
44	1543	19035
45	1586	19105
46	1625	19127
47	1668	19186
48	1704	19166
49	1741	19154
50	1780	19162
51	1821	19194
52	1860	19206
53	1904	19252
54	1942	19246
55	1976	19203
56	2010	19151
57	2050	19157
58	2084	19115
59	2114	19029
60	2146	18970
61	2179	18908
62	2209	18837
63	2240	18766
64	2271	18695
65	2301	18621
66	2332	18552
67	2360	18468
68	2392	18412
69	2424	18355
70	2454	18286
71	2485	18225
72	2518	18182
73	2550	18131
74	2580	18061
75	2609	17993
76	2639	17930
77	2671	17875
78	2701	17813
79	2730	17750
80	2760	17686
81	2789	17619
82	2818	17556
83	2847	17490
84	2874	17418
85	2905	17364
86	2935	17310
87	2963	17239
88	2992	17179
89	3022	17128
90	3053	17080
91	3083	17025
92	3111	16964
93	3141	16912
94	3169	16848
95	3198	16790
96	3227	16736
97	3254	16669
98	3283	16614
99	3312	16561
100	3340	16502
101	3368	16445
102	3396	16391
103	3426	16342
104	3453	16282
105	3483	16233
106	3511	16177
107	3538	16120
108	3568	16075
109	3598	16031
110	3627	15981
111	3654	15923
112	3683	15873
113	3713	15831
114	3741	15780
115	3769	15727
116	3797	15678
117	3827	15634
118	3857	15592
119	3885	15542
120	3914	15498
121	3941	15444
122	3971	15402
123	3999	15353
124	4031	15321
125	4062	15281
126	4090	15236
127	4117	15184
128	4146	15138
129	4174	15090
130	4200	15037
131	4229	14995
132	4257	14948
133	4283	14896
134	4313	14857
135	4342	14816
136	4370	14771
137	4397	14720
138	4427	14684
139	4456	14641
140	4484	14597
141	4510	14548
142	4539	14506
143	4565	14456
144	4593	14414
145	4621	14371
146	4648	14326
147	4676	14283
148	4706	14245
149	4733	14201
150	4760	14155
151	4790	14119
152	4818	14078
153	4847	14040
154	4875	13997
155	4904	13958
156	4930	13910
157	4959	13874
158	4989	13840
159	5016	13795
160	5043	13753
161	5072	13715
162	5100	13674
